lr,lc,rc,ld,rd,lnnz,rnnz,smdm_total_latency,smsm_total_latency
50762,86228,9706,0.01084252,0.0005,47459485,418503,734100,11979
27348,47832,5357,0.00082487,0.17,1079063,43565662,12109,21240
145187,329,915,0.02533638,0.07,1213491,21132,3473,4018
37622,36955,6996,0.00163948,0.15,2279445,38783402,32484,48353
42382,53674,3279,0.00056263,0.2,1279906,35208943,9398,18861
16099,54215,4437,0.00034241,0.17,298866,40895601,14637,7928
87665,48729,17510,0.00296184,0.0005,12652686,426640,500920,9790
13215,37014,43155,0.00370564,0.01,1812736,15973788,124170,46605
58665,5597,29984,0.02533638,0.15,8319487,25174495,391694,403301
119068,16505,16260,0.00108175,0.13,2126011,34892418,108971,232630
65650,18087,19824,0.00491597,0.05,5837537,17929190,204431,176750
94087,88687,10808,0.00082185,0.07,6857851,67103577,222268,207818
108444,591,18014,0.01084252,0.1,694959,1064736,32581,66910
25990,4298,32818,0.00019487,0.27,21773,38093822,23056,20527
141815,72084,4985,0.00182521,0.15,18658731,53907250,364574,228512
81769,27614,21821,0.00160539,0.05,3624945,30128791,165765,189688
45618,54388,7874,0.01084252,0.07,26901567,29979312,333500,141955
63894,38439,4471,0.00860544,0.27,21135422,46407078,171656,211908
106923,44899,8525,0.01084252,0.15,52052697,57416751,1187377,712082
57221,61539,20390,0.00182521,0.005,6427228,6274107,222537,48037
32352,73752,28061,0.00163948,0.01,3911935,20695721,187890,75940
142193,76384,6370,1.65E-05,0.07,179321,34060442,34553,14944
53503,57268,1850,0.00860544,0.3,26367431,31798087,73556,107265
